model,variant,noise,noise_train,accuracy,accuracy_noise
wisard,small,0.001,0,0.8735,0.7394
wisard,small,0.001,0.1,0.8826,0.872
wisard,small,0.001,0.15,0.8749,0.8709
wisard,small,0.001,0.2,0.8782,0.8768
wisard,small,0.001,0.5,0.8857,0.8792
wisard,small,0.001,1,0.889,0.8776
wisard,small,0.005,0,0.8731,0.5687
wisard,small,0.005,0.1,0.8803,0.8757
wisard,small,0.005,0.15,0.8763,0.8722
wisard,small,0.005,0.2,0.8835,0.8816
wisard,small,0.005,0.5,0.8883,0.8843
wisard,small,0.005,1,0.8852,0.8757
wisard,small,0.01,0,0.8761,0.4815
wisard,small,0.01,0.1,0.8727,0.8759
wisard,small,0.01,0.15,0.8727,0.8787
wisard,small,0.01,0.2,0.879,0.8758
wisard,small,0.01,0.5,0.8908,0.8881
wisard,small,0.01,1,0.883,0.8891
wisard,small,0.05,0,0.8857,0.4518
wisard,small,0.05,0.1,0.8778,0.8553
wisard,small,0.05,0.15,0.8893,0.867
wisard,small,0.05,0.2,0.8792,0.8733
wisard,small,0.05,0.5,0.8863,0.8827
wisard,small,0.05,1,0.8909,0.8897
wisard,large,0.001,0,0.9478,0.9214
wisard,large,0.001,0.1,0.95,0.9259
wisard,large,0.001,0.15,0.9501,0.9249
wisard,large,0.001,0.2,0.947,0.9351
wisard,large,0.001,0.5,0.9474,0.9391
wisard,large,0.001,1,0.9449,0.9405
wisard,large,0.005,0,0.9496,0.8523
wisard,large,0.005,0.1,0.9482,0.9027
wisard,large,0.005,0.15,0.9466,0.9105
wisard,large,0.005,0.2,0.9469,0.9131
wisard,large,0.005,0.5,0.9454,0.9258
wisard,large,0.005,1,0.9427,0.9329
wisard,large,0.01,0,0.951,0.7807
wisard,large,0.01,0.1,0.9463,0.8902
wisard,large,0.01,0.15,0.9458,0.8838
wisard,large,0.01,0.2,0.9467,0.8921
wisard,large,0.01,0.5,0.9462,0.9176
wisard,large,0.01,1,0.932,0.9174
wisard,large,0.05,0,0.9498,0.5672
wisard,large,0.05,0.1,0.948,0.758
wisard,large,0.05,0.15,0.9492,0.7765
wisard,large,0.05,0.2,0.9507,0.7564
wisard,large,0.05,0.5,0.946,0.8267
wisard,large,0.05,1,0.9081,0.8358
bthowen,small,0.001,0,0.9277,0.9205
bthowen,small,0.001,0.1,0.9254,0.8918
bthowen,small,0.001,0.15,0.9281,0.886
bthowen,small,0.001,0.2,0.9271,0.8916
bthowen,small,0.001,0.5,0.92,0.8723
bthowen,small,0.001,1,0.8953,0.8755
bthowen,small,0.005,0,0.9315,0.8775
bthowen,small,0.005,0.1,0.9265,0.8295
bthowen,small,0.005,0.15,0.9268,0.8474
bthowen,small,0.005,0.2,0.9304,0.8516
bthowen,small,0.005,0.5,0.9223,0.8171
bthowen,small,0.005,1,0.8616,0.7884
bthowen,small,0.01,0,0.9262,0.8378
bthowen,small,0.01,0.1,0.9262,0.7758
bthowen,small,0.01,0.15,0.9201,0.8051
bthowen,small,0.01,0.2,0.9289,0.7899
bthowen,small,0.01,0.5,0.9264,0.7525
bthowen,small,0.01,1,0.8082,0.6492
bthowen,small,0.05,0,0.9277,0.4006
bthowen,small,0.05,0.1,0.9233,0.4637
bthowen,small,0.05,0.15,0.9258,0.3964
bthowen,small,0.05,0.2,0.9231,0.5308
bthowen,small,0.05,0.5,0.9205,0.3772
bthowen,small,0.05,1,0.4291,0.2437
bthowen,large,0.001,0,0.1896,0.1672
bthowen,large,0.001,0.1,0.9503,0.8741
bthowen,large,0.001,0.15,0.9515,0.8857
bthowen,large,0.001,0.2,0.9463,0.8876
bthowen,large,0.001,0.5,0.9445,0.8966
bthowen,large,0.001,1,0.9173,0.8821
bthowen,large,0.005,0,0.9521,0.9035
bthowen,large,0.005,0.1,0.9433,0.8179
bthowen,large,0.005,0.15,0.9455,0.7647
bthowen,large,0.005,0.2,0.9427,0.7709
bthowen,large,0.005,0.5,0.9372,0.8164
bthowen,large,0.005,1,0.8444,0.7552
bthowen,large,0.01,0,0.9518,0.7939
bthowen,large,0.01,0.1,0.9425,0.6971
bthowen,large,0.01,0.15,0.9456,0.68
bthowen,large,0.01,0.2,0.942,0.6485
bthowen,large,0.01,0.5,0.9355,0.7312
bthowen,large,0.01,1,0.7113,0.5609
bthowen,large,0.05,0,0.9513,0.2238
bthowen,large,0.05,0.1,0.9436,0.2023
bthowen,large,0.05,0.15,0.941,0.1708
bthowen,large,0.05,0.2,0.9423,0.1848
bthowen,large,0.05,0.5,0.9314,0.216
bthowen,large,0.05,1,0.3597,0.2019
